M&M Count,Volume,Weight,Density,Color,"Has Peanut (Machine's Guess)
P = Peanut
S = Solid","Has Peanut (Ground Truth)
True = Peanut
False = Solid
None = No GT was provided"
6,1465.337817,1845.431214,1.259389605,red/orange/brown,,
7,1291.411106,1918.055162,1.485239791,red/orange/brown,None,
8,1265.763306,1905.163736,1.505150077,red/orange/brown,None,
9,1260.259835,1902.902675,1.509928844,red/orange/brown,FALSE,
10,2203.446499,2786.370302,1.264550922,yellow,TRUE,
11,2108.520731,3073.592617,1.457700924,blue,TRUE,
12,2475.488678,3345.223731,1.351338732,red/orange/brown,P,TRUE
13,1491.018224,2049.027998,1.374247453,red/orange/brown,P,TRUE
14,1747.794312,2436.175735,1.393857228,red/orange/brown,P,TRUE
15,1775.01888,2402.496042,1.3535045,yellow,P,FALSE
16,2874.505721,3493.407633,1.215307246,yellow,P,TRUE
17,2502.016327,2990.777019,1.195346723,red/orange/brown,P,TRUE
18,1612.857497,2033.200567,1.260620093,green,P,TRUE
19,2322.505545,3106.732356,1.337664128,green,P,TRUE
20,2021.430798,2452.070661,1.213037153,green,P,TRUE
21,2463.105167,3033.163486,1.231438887,yellow,P,TRUE
22,1845.64916,2320.929089,1.257513692,green,P,TRUE
23,1840.113233,2345.699525,1.27475825,yellow,P,TRUE
24,1426.193951,1884.307974,1.321214393,yellow,P,None
25,1407.839949,1922.071077,1.365262492,green,P,TRUE
26,1544.578039,1994.357554,1.291198958,green,P,TRUE
27,1653.674425,2086.352387,1.261646401,green,P,TRUE
28,1559.491129,2118.985918,1.358767535,red/orange/brown,P,TRUE
29,2240.362871,3037.246896,1.355694176,red/orange/brown,P,TRUE
30,2628.767494,3368.813016,1.281518059,red/orange/brown,P,TRUE
31,1934.522963,2520.442463,1.302875444,green,P,TRUE
32,2040.280113,2769.226731,1.357277716,blue,P,TRUE
33,1835.533001,2244.660445,1.222892993,red/orange/brown,P,TRUE
34,1712.641433,2384.981252,1.392574771,red/orange/brown,P,None
35,1438.573975,2260.352887,1.571245501,red/orange/brown,S,None
36,1704.187534,2406.781935,1.412275285,red/orange/brown,P,TRUE
37,1600.123959,2164.207149,1.352524683,yellow,P,None
38,1543.027338,2207.774769,1.430807293,yellow,P,FALSE
39,1877.25618,1887.750187,1.005590077,yellow,P,None
40,1866.205214,2393.654279,1.282631868,yellow,P,TRUE
41,1573.088069,2201.059078,1.399196347,green,P,None
42,1576.797143,2198.899258,1.394535288,green,P,FALSE
43,1650.100079,2194.782101,1.330090295,blue,P,TRUE
44,1500.717358,2137.614365,1.424395043,green,S,FALSE
45,1844.199006,-6.884426298,-0.003733017,green,P,None
46,1799.693652,18.59470044,0.010332148,green,P,None
47,1814.513511,1026.184485,0.565542487,green,P,None
48,1828.074181,2365.002916,1.293712772,green,P,TRUE
49,1613.188667,2262.310224,1.402384154,red/orange/brown,S,TRUE
50,1790.54099,2389.334639,1.33442052,red/orange/brown,P,TRUE
51,2475.165606,3146.891509,1.271386246,yellow,P,TRUE
52,1077.803739,1701.263228,1.578453634,red/orange/brown,S,None
53,1046.256538,1663.331389,1.589793066,red/orange/brown,S,FALSE
54,1436.194257,2117.771019,1.47457143,brown,S,TRUE
55,1396.03939,1776.519457,1.272542501,green,P,TRUE
56,1916.317688,2661.606949,1.388917383,green,S,None
57,1915.190382,2616.183235,1.366017321,green,P,None
58,2048.557099,2572.851846,1.255933675,green,P,FALSE
59,1644.600138,2095.261645,1.274024972,green,P,None
60,1661.614585,2101.538622,1.264756967,green,P,TRUE
61,1771.20816,2474.782518,1.397228499,red/orange/brown,S,None
62,1778.494472,2568.970919,1.444463821,red/orange/brown,S,FALSE
63,1229.593339,1707.033997,1.388291513,green,S,None
64,1577.808004,-791.9115074,-0.501906129,red/orange/brown,P,None
65,1572.174054,2241.72444,1.425875484,red/orange/brown,S,None
66,1620.571989,2220.126239,1.369964589,red/orange/brown,P,None
67,2422.148337,3352.479377,1.384093338,green,S,None
68,2405.514475,3300.609949,1.372101471,green,P,None
69,2094.240429,2797.101908,1.335616422,red/orange/brown,P,None
70,1774.506024,2336.351554,1.316620807,red/orange/brown,P,None
71,1825.006553,2620.705358,1.43599778,blue,S,None
72,2195.07197,2850.489959,1.298586105,red/orange/brown,P,None
73,1521.178782,2104.508374,1.38347208,red/orange/brown,S,None
74,1513.280067,1907.424798,1.260457228,red/orange/brown,P,None
75,1559.617037,2100.424965,1.346756874,green,P,None
